experiment,x_key,x,y_key,y,color,linestyle
NSGD,iterations,9000.0,losses,0.005244468804448843,gray,--
NSGD,iterations,9100.0,losses,0.0051689185202121735,gray,--
NSGD,iterations,9200.0,losses,0.005095221567898989,gray,--
NSGD,iterations,9300.0,losses,0.005023320205509663,gray,--
NSGD,iterations,9400.0,losses,0.004953238647431135,gray,--
NSGD,iterations,9500.0,losses,0.004884917289018631,gray,--
NSGD,iterations,9600.0,losses,0.00481821596622467,gray,--
NSGD,iterations,9700.0,losses,0.004753134213387966,gray,--
NSGD,iterations,9800.0,losses,0.004689653404057026,gray,--
NSGD,iterations,9900.0,losses,0.004627712070941925,gray,--
NSGD,iterations,10000.0,losses,0.004567205905914307,gray,--
NSGD,iterations,10100.0,losses,0.004508077632635832,gray,--
NSGD,iterations,10200.0,losses,0.0044504073448479176,gray,--
NSGD,iterations,10300.0,losses,0.004394092131406069,gray,--
NSGD,iterations,10400.0,losses,0.004339038860052824,gray,--
NSGD,iterations,10500.0,losses,0.004285318776965141,gray,--
NSGD,iterations,10600.0,losses,0.004232793115079403,gray,--
NSGD,iterations,10700.0,losses,0.004181446507573128,gray,--
NSGD,iterations,10800.0,losses,0.004131312482059002,gray,--
NSGD,iterations,10900.0,losses,0.0040822988376021385,gray,--
NSGD,iterations,11000.0,losses,0.004034355282783508,gray,--
NSGD,iterations,11100.0,losses,0.00398748554289341,gray,--
NSGD,iterations,11200.0,losses,0.003941682167351246,gray,--
NSGD,iterations,11300.0,losses,0.003896876936778426,gray,--
NSGD,iterations,11400.0,losses,0.00385299907065928,gray,--
NSGD,iterations,11500.0,losses,0.0038101566024124622,gray,--
NSGD,iterations,11600.0,losses,0.00376817281357944,gray,--
NSGD,iterations,11700.0,losses,0.0037271264009177685,gray,--
NSGD,iterations,11800.0,losses,0.0036869565956294537,gray,--
NSGD,iterations,11900.0,losses,0.0036476226523518562,gray,--
NSGD,cumulative_time,0.0007264614105224609,losses,302.89605712890625,gray,--
NSGD,cumulative_time,0.05569028854370117,losses,18.36573028564453,gray,--
NSGD,cumulative_time,0.08355236053466797,losses,10.22940731048584,gray,--
