experiment,x_key,x,y_key,y,color,linestyle
NSGD,iterations,9200.0,losses,18.004234313964844,gray,--
NSGD,iterations,9300.0,losses,17.872020721435547,gray,--
NSGD,iterations,9400.0,losses,17.74144744873047,gray,--
NSGD,iterations,9500.0,losses,17.612478256225586,gray,--
NSGD,iterations,9600.0,losses,17.48508071899414,gray,--
NSGD,iterations,9700.0,losses,17.359233856201172,gray,--
NSGD,iterations,9800.0,losses,17.234901428222656,gray,--
NSGD,iterations,9900.0,losses,17.11205291748047,gray,--
NSGD,iterations,10000.0,losses,16.99066925048828,gray,--
NSGD,iterations,10100.0,losses,16.870716094970703,gray,--
NSGD,iterations,10200.0,losses,16.752174377441406,gray,--
NSGD,iterations,10300.0,losses,16.6350154876709,gray,--
NSGD,iterations,10400.0,losses,16.519214630126953,gray,--
NSGD,iterations,10500.0,losses,16.404743194580078,gray,--
NSGD,iterations,10600.0,losses,16.291587829589844,gray,--
NSGD,iterations,10700.0,losses,16.179718017578125,gray,--
NSGD,iterations,10800.0,losses,16.069110870361328,gray,--
NSGD,iterations,10900.0,losses,15.959748268127441,gray,--
NSGD,iterations,11000.0,losses,15.851608276367188,gray,--
NSGD,iterations,11100.0,losses,15.744668960571289,gray,--
NSGD,iterations,11200.0,losses,15.63891315460205,gray,--
NSGD,iterations,11300.0,losses,15.534313201904297,gray,--
NSGD,iterations,11400.0,losses,15.430859565734863,gray,--
NSGD,iterations,11500.0,losses,15.328527450561523,gray,--
NSGD,iterations,11600.0,losses,15.227299690246582,gray,--
NSGD,iterations,11700.0,losses,15.127159118652344,gray,--
NSGD,iterations,11800.0,losses,15.028083801269531,gray,--
NSGD,iterations,11900.0,losses,14.930057525634766,gray,--
NSGD,cumulative_time,0.0005753040313720703,losses,302.89605712890625,gray,--
NSGD,cumulative_time,0.07464170455932617,losses,54.82676696777344,gray,--
NSGD,cumulative_time,0.10920453071594238,losses,52.41010284423828,gray,--
NSGD,cumulative_time,0.14485764503479004,losses,50.58493423461914,gray,--
NSGD,cumulative_time,0.17855381965637207,losses,49.06925964355469,gray,--
NSGD,cumulative_time,0.21240949630737305,losses,47.75274658203125,gray,--
NSGD,cumulative_time,0.24512410163879395,losses,46.57855987548828,gray,--
NSGD,cumulative_time,0.27907395362854004,losses,45.512718200683594,gray,--
NSGD,cumulative_time,0.3117091655731201,losses,44.53306579589844,gray,--
NSGD,cumulative_time,0.34798192977905273,losses,43.624149322509766,gray,--
NSGD,cumulative_time,0.38077473640441895,losses,42.77465057373047,gray,--
NSGD,cumulative_time,0.4142320156097412,losses,41.97605895996094,gray,--
NSGD,cumulative_time,0.4488518238067627,losses,41.221702575683594,gray,--
NSGD,cumulative_time,0.4856128692626953,losses,40.50627136230469,gray,--
NSGD,cumulative_time,0.5196053981781006,losses,39.82544708251953,gray,--
NSGD,cumulative_time,0.5571267604827881,losses,39.17567825317383,gray,--
NSGD,cumulative_time,0.6001901626586914,losses,38.553955078125,gray,--
NSGD,cumulative_time,0.6363804340362549,losses,37.9577751159668,gray,--
NSGD,cumulative_time,0.6708440780639648,losses,37.384952545166016,gray,--
NSGD,cumulative_time,0.703906774520874,losses,36.83359146118164,gray,--
NSGD,cumulative_time,0.741283655166626,losses,36.30207824707031,gray,--
NSGD,cumulative_time,0.7850654125213623,losses,35.78895950317383,gray,--
NSGD,cumulative_time,0.8198180198669434,losses,35.29298400878906,gray,--
NSGD,cumulative_time,0.8557004928588867,losses,34.81298065185547,gray,--
NSGD,cumulative_time,0.8883001804351807,losses,34.34796905517578,gray,--
NSGD,cumulative_time,0.9275021553039551,losses,33.897010803222656,gray,--
NSGD,cumulative_time,0.9736082553863525,losses,33.45931625366211,gray,--
NSGD,cumulative_time,1.0071938037872314,losses,33.03411865234375,gray,--
NSGD,cumulative_time,1.0401158332824707,losses,32.62074279785156,gray,--
NSGD,cumulative_time,1.0737009048461914,losses,32.21855545043945,gray,--
NSGD,cumulative_time,1.147141456604004,losses,31.827007293701172,gray,--
NSGD,cumulative_time,1.1797754764556885,losses,31.445554733276367,gray,--
NSGD,cumulative_time,1.2143700122833252,losses,31.073734283447266,gray,--
NSGD,cumulative_time,1.247084140777588,losses,30.71109390258789,gray,--
NSGD,cumulative_time,1.286283016204834,losses,30.35721206665039,gray,--
NSGD,cumulative_time,1.318627119064331,losses,30.011707305908203,gray,--
NSGD,cumulative_time,1.3533055782318115,losses,29.674238204956055,gray,--
NSGD,cumulative_time,1.3908436298370361,losses,29.34444236755371,gray,--
NSGD,cumulative_time,1.4336051940917969,losses,29.022022247314453,gray,--
NSGD,cumulative_time,1.4849612712860107,losses,28.70669174194336,gray,--
NSGD,cumulative_time,1.5182888507843018,losses,28.398157119750977,gray,--
NSGD,cumulative_time,1.5531072616577148,losses,28.09618377685547,gray,--
NSGD,cumulative_time,1.5885164737701416,losses,27.800512313842773,gray,--
NSGD,cumulative_time,1.641625165939331,losses,27.510921478271484,gray,--
NSGD,cumulative_time,1.6750636100769043,losses,27.227184295654297,gray,--
NSGD,cumulative_time,1.7123990058898926,losses,26.949115753173828,gray,--
NSGD,cumulative_time,1.7518284320831299,losses,26.676498413085938,gray,--
NSGD,cumulative_time,1.7860612869262695,losses,26.409170150756836,gray,--
NSGD,cumulative_time,1.8196442127227783,losses,26.146942138671875,gray,--
