step,epoch,loss,train_acc,whiten.bias_frobenius,whiten.bias_spectral,whiten.bias_nuclear,layers.1.conv1.weight_frobenius,layers.1.conv1.weight_spectral,layers.1.conv1.weight_nuclear,layers.1.norm1.bias_frobenius,layers.1.norm1.bias_spectral,layers.1.norm1.bias_nuclear,layers.1.conv2.weight_frobenius,layers.1.conv2.weight_spectral,layers.1.conv2.weight_nuclear,layers.1.norm2.bias_frobenius,layers.1.norm2.bias_spectral,layers.1.norm2.bias_nuclear,layers.2.conv1.weight_frobenius,layers.2.conv1.weight_spectral,layers.2.conv1.weight_nuclear,layers.2.norm1.bias_frobenius,layers.2.norm1.bias_spectral,layers.2.norm1.bias_nuclear,layers.2.conv2.weight_frobenius,layers.2.conv2.weight_spectral,layers.2.conv2.weight_nuclear,layers.2.norm2.bias_frobenius,layers.2.norm2.bias_spectral,layers.2.norm2.bias_nuclear,layers.3.conv1.weight_frobenius,layers.3.conv1.weight_spectral,layers.3.conv1.weight_nuclear,layers.3.norm1.bias_frobenius,layers.3.norm1.bias_spectral,layers.3.norm1.bias_nuclear,layers.3.conv2.weight_frobenius,layers.3.conv2.weight_spectral,layers.3.conv2.weight_nuclear,layers.3.norm2.bias_frobenius,layers.3.norm2.bias_spectral,layers.3.norm2.bias_nuclear,head.weight_frobenius,head.weight_spectral,head.weight_nuclear,total_frobenius,total_spectral,total_nuclear,val_acc
0,0,4620.0,0.11050000786781311,2.420792579650879,2.4207923412323,2.4207923412323,149.766845703125,72.95953369140625,840.7808837890625,1.7174969911575317,1.7174967527389526,1.7174967527389526,113.89351654052734,65.84040069580078,672.416748046875,1.8021174669265747,1.8021175861358643,1.8021175861358643,259.0202941894531,140.234375,2200.857421875,1.0649040937423706,1.0649040937423706,1.0649040937423706,191.2548370361328,122.27509307861328,1573.259033203125,0.9655149579048157,0.9655149579048157,0.9655149579048157,154.8745574951172,95.09198760986328,1378.817138671875,2.5822033882141113,2.5822033882141113,2.5822033882141113,142.39341735839844,90.05341339111328,1089.928955078125,4.4215593338012695,4.421558856964111,4.421558856964111,17.107254028320312,16.457155227661133,27.87921142578125,428.5636248462726,140.234375,7798.913980066776,0.10509999841451645
20,0,4224.0,0.2225000113248825,19.230606079101562,19.230606079101562,19.230606079101562,21.143625259399414,18.94759750366211,42.88441467285156,1.7344964742660522,1.7344963550567627,1.7344963550567627,4.388319969177246,3.8463211059570312,7.601259231567383,0.38107994198799133,0.38107994198799133,0.38107994198799133,0.9695764780044556,0.7235651612281799,2.1656081676483154,0.5262398719787598,0.5262398719787598,0.5262398719787598,1.6168829202651978,1.2337979078292847,3.230875015258789,0.5982111096382141,0.5982110500335693,0.5982110500335693,6.717639446258545,5.124145030975342,16.34845733642578,2.1096339225769043,2.1096339225769043,2.1096339225769043,86.55298614501953,77.27315521240234,208.7161407470703,5.987749099731445,5.9877495765686035,5.9877495765686035,5.043961524963379,4.553936004638672,8.332117080688477,91.90081968086956,77.27315521240234,319.8468890488148,0.10509999841451645
40,1,4272.0,0.22500000894069672,3.2349836826324463,3.2349836826324463,3.2349836826324463,54.31451416015625,51.077880859375,101.22552490234375,1.4080256223678589,1.4080257415771484,1.4080257415771484,54.248172760009766,51.02571487426758,86.92290496826172,2.5604586601257324,2.5604588985443115,2.5604588985443115,9.127461433410645,8.251605033874512,15.97128963470459,1.041399359703064,1.0413992404937744,1.0413992404937744,4.108870029449463,3.203526496887207,7.437788009643555,1.081958293914795,1.081958293914795,1.081958293914795,2.9228243827819824,2.385085105895996,5.781870365142822,0.6356015205383301,0.6356015205383301,0.6356015205383301,19.723318099975586,14.211318016052246,62.835174560546875,3.416123628616333,3.416123867034912,3.416123867034912,2.8319313526153564,2.3875174522399902,5.167684555053711,80.19992965251116,51.077880859375,298.72078824043274,0.0957999974489212
60,2,4280.0,0.17650000751018524,3.779367685317993,3.7793681621551514,3.7793681621551514,41.4296989440918,37.37342071533203,84.2618408203125,4.545841693878174,4.545841217041016,4.545841217041016,43.20610427856445,40.29994583129883,76.74490356445312,2.448338031768799,2.448338031768799,2.448338031768799,22.149272918701172,21.333084106445312,34.02016830444336,9.467026710510254,9.467026710510254,9.467026710510254,24.987483978271484,24.432601928710938,35.24150466918945,6.7424726486206055,6.742473125457764,6.742473125457764,14.70915412902832,14.44884967803955,20.223297119140625,1.933220386505127,1.9332202672958374,1.9332202672958374,12.656816482543945,7.845510959625244,48.1336555480957,2.9902875423431396,2.9902870655059814,2.9902870655059814,4.101474285125732,3.402064561843872,7.204890251159668,72.66523038306312,40.29994583129883,337.73681485652924,0.10089999437332153
80,3,4240.0,0.2160000056028366,,,,55.07212448120117,48.64149856567383,106.03602600097656,7.0919575691223145,7.091957092285156,7.091957092285156,27.57740592956543,25.848968505859375,41.927162170410156,3.476520299911499,3.47652006149292,3.47652006149292,8.573226928710938,8.069198608398438,13.738439559936523,3.5052804946899414,3.5052802562713623,3.5052802562713623,9.155939102172852,7.833146095275879,15.10489273071289,2.528982162475586,2.528982162475586,2.528982162475586,5.017435550689697,4.2205986976623535,10.573013305664062,1.7674181461334229,1.7674181461334229,1.7674181461334229,24.831851959228516,18.29075813293457,77.58446502685547,6.971080303192139,6.9710798263549805,6.9710798263549805,6.816715717315674,5.674005031585693,11.275386810302734,69.07844325888664,48.64149856567383,301.5806231498718,0.07970000058412552
100,4,4312.0,0.19750000536441803,,,,929.212158203125,916.2612915039062,1248.93212890625,23.879375457763672,23.879375457763672,23.879375457763672,281.15484619140625,277.8497619628906,368.98333740234375,11.312798500061035,11.312797546386719,11.312797546386719,55.98954772949219,53.740570068359375,87.17042541503906,11.11176872253418,11.11176872253418,11.11176872253418,29.960615158081055,27.024354934692383,50.165794372558594,11.62443733215332,11.624436378479004,11.624436378479004,18.855792999267578,18.17965316772461,30.603607177734375,4.630913734436035,4.630913734436035,4.630913734436035,23.985082626342773,16.782629013061523,80.01667785644531,4.10273551940918,4.10273551940918,4.10273551940918,6.521121978759766,5.264324188232422,11.447799682617188,973.9015254559663,916.2612915039062,1943.981798171997,0.17899999022483826
120,4,4300.0,0.19950000941753387,,,,302.5878601074219,296.15765380859375,437.626953125,16.603988647460938,16.603986740112305,16.603986740112305,134.2415008544922,132.37698364257812,178.97247314453125,5.913729667663574,5.913729190826416,5.913729190826416,16.37082862854004,14.679628372192383,31.585166931152344,7.2434282302856445,7.243428707122803,7.243428707122803,11.925381660461426,10.827778816223145,20.303550720214844,0.8403204679489136,0.840320348739624,0.840320348739624,5.644630432128906,3.436000108718872,14.585782051086426,0.5351829528808594,0.5351828932762146,0.5351828932762146,16.773250579833984,11.243547439575195,61.591148376464844,9.111732482910156,9.11173152923584,9.11173152923584,6.504086971282959,5.940060138702393,10.730213165283203,332.8559259605931,296.15765380859375,795.6436669230461,0.17899999022483826
140,5,4104.0,0.27950000762939453,,,,77.70944213867188,70.6215591430664,163.0701141357422,7.036955833435059,7.036955833435059,7.036955833435059,33.20444869995117,30.18441390991211,55.94634246826172,9.468658447265625,9.468658447265625,9.468658447265625,13.10193920135498,12.465853691101074,21.465131759643555,5.606868743896484,5.606868743896484,5.606868743896484,6.398672103881836,4.9934563636779785,13.956629753112793,1.3435291051864624,1.343529224395752,1.343529224395752,6.135593414306641,4.224663734436035,15.002924919128418,1.4364955425262451,1.4364957809448242,1.4364957809448242,11.742581367492676,7.720581531524658,47.22023010253906,5.1056952476501465,5.105694770812988,5.105694770812988,3.423269271850586,2.625093698501587,6.9441094398498535,87.98691410597247,70.6215591430664,353.6036853790283,0.21719999611377716
160,6,4068.0,0.30100002884864807,,,,55.450862884521484,49.55876159667969,123.50733947753906,10.824835777282715,10.824834823608398,10.824834823608398,60.75417709350586,56.54933547973633,94.99298858642578,6.663902282714844,6.6639018058776855,6.6639018058776855,12.652026176452637,10.884994506835938,24.92192840576172,7.338267803192139,7.338267803192139,7.338267803192139,9.588969230651855,7.05015754699707,18.612689971923828,3.7999069690704346,3.7999069690704346,3.7999069690704346,6.113201141357422,4.664015293121338,16.167604446411133,2.4465830326080322,2.4465830326080322,2.4465830326080322,11.388705253601074,5.983198642730713,52.60149383544922,3.94474196434021,3.94474196434021,3.94474196434021,2.6031453609466553,2.133178949356079,5.4421515464782715,86.27375855847338,56.54933547973633,371.2644326686859,0.11969999969005585
180,7,4016.0,0.2939999997615814,,,,37.366451263427734,31.17069435119629,95.685791015625,3.3484177589416504,3.3484175205230713,3.3484175205230713,18.178131103515625,15.954229354858398,34.98271179199219,3.3317809104919434,3.3317809104919434,3.3317809104919434,8.113692283630371,7.062851905822754,16.89653205871582,3.060422897338867,3.060422658920288,3.060422658920288,13.615665435791016,11.0081148147583,26.439483642578125,2.515854835510254,2.515854835510254,2.515854835510254,11.226869583129883,8.464884757995605,27.954748153686523,2.4434916973114014,2.4434914588928223,2.4434914588928223,18.571643829345703,12.053037643432617,76.94863891601562,6.218410968780518,6.218410491943359,6.218410491943359,4.506721496582031,3.4669716358184814,8.36145305633545,50.51555441662801,31.17069435119629,308.18773651123047,0.29829999804496765
