step,epoch,loss,train_acc,whiten.bias_frobenius,whiten.bias_spectral,whiten.bias_nuclear,layers.1.conv1.weight_frobenius,layers.1.conv1.weight_spectral,layers.1.conv1.weight_nuclear,layers.1.norm1.bias_frobenius,layers.1.norm1.bias_spectral,layers.1.norm1.bias_nuclear,layers.1.conv2.weight_frobenius,layers.1.conv2.weight_spectral,layers.1.conv2.weight_nuclear,layers.1.norm2.bias_frobenius,layers.1.norm2.bias_spectral,layers.1.norm2.bias_nuclear,layers.2.conv1.weight_frobenius,layers.2.conv1.weight_spectral,layers.2.conv1.weight_nuclear,layers.2.norm1.bias_frobenius,layers.2.norm1.bias_spectral,layers.2.norm1.bias_nuclear,layers.2.conv2.weight_frobenius,layers.2.conv2.weight_spectral,layers.2.conv2.weight_nuclear,layers.2.norm2.bias_frobenius,layers.2.norm2.bias_spectral,layers.2.norm2.bias_nuclear,layers.3.conv1.weight_frobenius,layers.3.conv1.weight_spectral,layers.3.conv1.weight_nuclear,layers.3.norm1.bias_frobenius,layers.3.norm1.bias_spectral,layers.3.norm1.bias_nuclear,layers.3.conv2.weight_frobenius,layers.3.conv2.weight_spectral,layers.3.conv2.weight_nuclear,layers.3.norm2.bias_frobenius,layers.3.norm2.bias_spectral,layers.3.norm2.bias_nuclear,head.weight_frobenius,head.weight_spectral,head.weight_nuclear,total_frobenius,total_spectral,total_nuclear,val_acc
0,0,4620.0,0.11050000786781311,2.420792579650879,2.4207923412323,2.4207923412323,149.766845703125,72.95953369140625,840.7808837890625,1.7174969911575317,1.7174967527389526,1.7174967527389526,113.89351654052734,65.84040069580078,672.416748046875,1.8021174669265747,1.8021175861358643,1.8021175861358643,259.0202941894531,140.234375,2200.857421875,1.0649040937423706,1.0649040937423706,1.0649040937423706,191.2548370361328,122.27509307861328,1573.259033203125,0.9655149579048157,0.9655149579048157,0.9655149579048157,154.8745574951172,95.09198760986328,1378.817138671875,2.5822033882141113,2.5822033882141113,2.5822033882141113,142.39341735839844,90.05341339111328,1089.928955078125,4.4215593338012695,4.421558856964111,4.421558856964111,17.107254028320312,16.457155227661133,27.87921142578125,428.5636248462726,140.234375,7798.913980066776,0.6624000072479248
50,2,inf,0.7870000600814819,12.711166381835938,12.711167335510254,12.711167335510254,188.08132934570312,123.50340270996094,823.6309814453125,12.091320037841797,12.091320037841797,12.091320037841797,222.0079345703125,141.74354553222656,1106.69384765625,11.677701950073242,11.677702903747559,11.677702903747559,171.36578369140625,81.68641662597656,1458.6219482421875,10.842582702636719,10.842582702636719,10.842582702636719,221.71633911132812,90.19971466064453,2051.00341796875,12.513704299926758,12.513704299926758,12.513704299926758,202.34164428710938,78.77104949951172,2062.6962890625,13.563013076782227,13.563014030456543,13.563014030456543,146.8986053466797,61.1755485534668,1441.0853271484375,18.229467391967773,18.22946548461914,18.22946548461914,8.172046661376953,6.519949913024902,17.44544219970703,476.45478863784433,141.74354553222656,9052.806210517883,0.6740999817848206
100,4,inf,0.8820000290870667,,,,142.36907958984375,88.74031066894531,699.7359619140625,9.299132347106934,9.29913330078125,9.29913330078125,169.22103881835938,90.82671356201172,983.3937377929688,8.657745361328125,8.657746315002441,8.657746315002441,151.14329528808594,65.14356231689453,1525.834228515625,9.591754913330078,9.591753959655762,9.591753959655762,207.5221405029297,89.85150909423828,2327.31787109375,9.845343589782715,9.845343589782715,9.845343589782715,178.49114990234375,65.28034973144531,2143.2802734375,11.261053085327148,11.261054039001465,11.261054039001465,103.45731353759766,42.83403778076172,1110.3837890625,9.101877212524414,9.101877212524414,9.101877212524414,4.77043342590332,3.912264108657837,10.575139999389648,397.44148137767803,90.82671356201172,8858.277910232544,0.8193999528884888
150,6,inf,0.9280000329017639,,,,120.6303482055664,61.371036529541016,643.4366455078125,8.161738395690918,8.161738395690918,8.161738395690918,181.71070861816406,118.5599136352539,1002.8564453125,7.760302543640137,7.7603020668029785,7.7603020668029785,151.86988830566406,60.635562896728516,1603.7296142578125,9.05624771118164,9.05624771118164,9.05624771118164,209.20545959472656,78.45156860351562,2498.084716796875,10.512578964233398,10.512578964233398,10.512578964233398,177.02517700195312,58.73286056518555,2195.533935546875,8.987771987915039,8.987771987915039,8.987771987915039,83.31453704833984,29.1970272064209,920.0938720703125,6.47421407699585,6.474213600158691,6.474213600158691,3.6022634506225586,2.8330328464508057,8.24274730682373,391.32609574696454,118.5599136352539,8922.930829524994,0.8937999606132507
200,8,inf,0.9640000462532043,,,,102.4280776977539,54.43373107910156,555.116943359375,5.564332962036133,5.564333438873291,5.564333438873291,144.36842346191406,80.47013854980469,894.9523315429688,8.363905906677246,8.363903999328613,8.363903999328613,141.87461853027344,59.5420036315918,1559.8890380859375,7.747568607330322,7.747568607330322,7.747568607330322,201.40972900390625,72.13428497314453,2551.6611328125,9.028854370117188,9.028855323791504,9.028855323791504,166.62896728515625,45.73171615600586,2142.845947265625,7.453988552093506,7.453989028930664,7.453989028930664,62.3018913269043,19.65827751159668,707.84912109375,3.301149845123291,3.301149845123291,3.301149845123291,2.0939009189605713,1.5305507183074951,4.933162689208984,352.1194161449829,80.47013854980469,8458.707477092743,0.9280999898910522
